subscribe2,Subscribe2,10.18.4
favicon-by-realfavicongenerator,Favicon by RealFaviconGenerator,1.2.11
so-widgets-bundle,SiteOrigin Widgets Bundle,1.1.2
tweet-old-post,Revive Old Post (Former Tweet Old Post),6.9.6.3
widget-importer-exporter,Widget Importer ,1.2
instagram-feed,Instagram Feed,1.3.3
gallery-images,Image Gallery,1.2.1
wp-mail-smtp,WP Mail SMTP,0.9.5
yith-woocommerce-compare,YITH WooCommerce Compare,1.2.3
register-plus-redux,Register Plus Redux,4.1.1
iwp-client,InfiniteWP Client,1.3.10
easy-digital-downloads,Easy Digital Downloads,2.2.8
form-maker,Form Maker,1.7.27
wp-photo-album-plus,WP Photo Album Plus,5.5.1
recent-tweets-widget,Recent Tweets Widget,1.4
theme-check,Theme Check,20141222.1
profile-builder,"Profile Builder - front-end user registration, login and edit profile",2.1.2
simple-social-buttons,Simple Social Buttons,1.7.8
redux-framework,Redux Framework,3.4.1
custom-login,Custom Login,3.2
stop-spammer-registrations-plugin,Stop Spammers,6.02
seo-image,SEO Friendly Images,3.0.5
si-captcha-for-wordpress,SI CAPTCHA Anti-Spam,2.7.7.5
virtue-toolkit,Virtue ,2.8
newsletter,Newsletter,3.6.7
youtube-embed-plus,YouTube,9.4
meta-box,Meta Box,4.4.2
yith-woocommerce-ajax-search,YITH WooCommerce Ajax Search,1.2.2
facebook,Facebook,1.5.5
cleantalk-spam-protect,Anti-spam by CleanTalk (no CAPTCHA),4.19
wp-sitemap-page,WP Sitemap Page,1.5.3
google-analyticator,Google Analyticator,6.4.8
portfolio-gallery,Portfolio Gallery,1.3.5
cms-tree-page-view,CMS Tree Page View,1.2.31
custom-facebook-feed,Custom Facebook Feed,2.3
gotmls,Anti-Malware and Brute-Force Security by ELI,4.14.59
simple-share-buttons-adder,Simple Share Buttons Adder,5.5
nk-google-analytics,NK Google Analytics,1.4.6
mashsharer,"Mashshare - Social Media Icons SEO Share Buttons for Facebook, Twitter, Subscribe",2.2.6
contact-form-builder,Contact Form Builder,1.0.17
link-library,Link Library,5.9.2.4
wp-rss-aggregator,WP RSS Aggregator,4.6.10
easy-fancybox,Easy FancyBox,1.5.7
user-access-manager,User Access Manager,1.2.6.2
image-widget,Image Widget,4.1
printfriendly,Print Friendly and PDF Button,3.3.9
yet-another-related-posts-plugin,Yet Another Related Posts Plugin (YARPP),4.2.4
options-framework,Options Framework,1.8.3
like-box,Facebook Like Box,0.5.1
maintenance,Maintenance,2.4
force-regenerate-thumbnails,Force Regenerate Thumbnails,2.0.3
codestyling-localization,Codestyling Localization,1.99.30
wpfront-user-role-editor,WPFront User Role Editor,2.5.1
ultimate-tinymce,Ultimate TinyMCE,5.7
wp-postviews,WP-PostViews,1.69
wc-shortcodes,WP Canvas - Shortcodes,1.63
jquery-t-countdown-widget,T(-) Countdown,2.2.19
testimonials-widget,Testimonials Widget,3.0.4
simple-custom-css,Simple Custom CSS,3.2
wp-clone-by-wp-academy,WP Clone by WP Academy,2.1.8
leaflet-maps-marker,"Leaflet Maps Marker (Google Maps, OpenStreetMap, Bing Maps)",3.9.6
jw-player-plugin-for-wordpress,JW Player for Flash ,2.1.10
wordpress-simple-paypal-shopping-cart,WordPress Simple Paypal Shopping Cart,4.0.7
wpsso-am,WPSSO App Meta - for Apple's mobile Safari and Twitter's App Card,1.1.2
wp-to-twitter,WP to Twitter,3.0.0
cookie-notice,Cookie Notice by dFactory,1.2.18.1
wpsso-plm,WPSSO Place and Location Meta - for Facebook ,1.1.2
sumome,Double your Email Subscribers ,1.10
simple-social-icons,Simple Social Icons,1.0.7
woocommerce-jetpack,WooCommerce Jetpack,2.1.3
easy-testimonials,Easy Testimonials,1.20.2
wp-edit,WP Edit,3.0.1
all-in-one-wp-migration,All-in-One WP Migration,2.0.4
events-manager,Events Manager,5.5.5
wp-review,WP Review,3.2.9
