contact-form-7,Contact Form 7,4.9.1
shortpixel-image-optimiser,ShortPixel Image Optimizer,4.7.2
gallery-video,Gallery – Video Gallery and Youtube Gallery,2.2.0
wp-sweep,WP-Sweep,1.0.10
wp-hide-post,WP Hide Post,2.0.10
post-thumbnail-editor,Post Thumbnail Editor,2.4.8
rss-importer,RSS Importer,0.2
sociable,Sociable,4.3.4.1
ultimate-form-builder-lite,Contact Form for WordPress – Ultimate Form Builder Lite,1.3.7
feedwordpress,FeedWordPress,2017.1020
simple-css,Simple CSS,1.1
wp-cerber,Cerber Security & Antispam,5.5
profile-builder,User registration & user profile – Profile Builder,2.6.9
nginx-helper,Nginx Helper,1.9.10
pods,Pods – Custom Content Types and Fields,2.6.11
mailgun,Mailgun for WordPress,1.5.8.5
wp-htaccess-editor,WP Htaccess Editor,1.3.0
woocommerce-checkout-manager,WooCommerce Checkout Manager,4.1.6
floating-social-media-icon,Social Media Flying Icons | Floating Social Media Icon,4.2.6
scroll-back-to-top,Scroll Back To Top,1.1.3
sidebar-login,Sidebar Login,2.7.3
bootstrap-3-shortcodes,Bootstrap Shortcodes for WordPress,3.3.10
live-composer-page-builder,Page Builder: Live Composer – drag and drop website builder (visual front end site editor),1.3.7
admin-custom-login,Customize WordPress Login Page,2.5.5
editorial-calendar,Editorial Calendar,3.6.4
easy-social-icons,Easy Social Icons,3.0.5
woocommerce-menu-bar-cart,WooCommerce Menu Cart,2.6.0
custom-contact-forms,Custom Contact Forms,7.8.5
genesis-simple-sidebars,Genesis Simple Sidebars,2.1.0
rest-api,WordPress REST API (Version 2),2.0-beta15
uber-login-logo,Uber Login Logo,1.5.1
wp-rss-aggregator,WP RSS Aggregator,4.11.2
paypal-donations,PayPal Donations,1.9.3
json-api,JSON API,1.1.1
advanced-ads,Advanced Ads,1.8.12
kk-star-ratings,kk Star Ratings,2.6
accesspress-social-counter,Social Counter for WordPress – AccessPress Social Counter,1.7.3
bad-behavior,Bad Behavior,2.2.20
wp-mail-bank,WP Mail SMTP – WP SMTP – Email – WordPress SMTP Mailer by Mail Bank,3.0.28
easy-smooth-scroll-links,Easy Smooth Scroll Links,2.1.1
syntaxhighlighter,SyntaxHighlighter Evolved,3.2.1
wp-performance-score-booster,WP Performance Score Booster,1.8
custom-post-template,Custom Post Template,1.5
wp-total-hacks,WP Total Hacks,4.7.2
simple-social-buttons,Simple Social Media Share Buttons – Social Sharing for Everyone,2.0.2
wp-clean-up,WP Clean Up,1.2.3
wp-meta-and-date-remover,WP Meta and Date Remover,1.7.2
woocommerce-shortcodes,WooCommerce Shortcodes,1.0.0
show-hide-author,Show Hide Author,2.3
snazzy-maps,Snazzy Maps,1.1.3
website-monetization-by-magenet,Website Monetization by MageNet,1.0.23
social-pug,Social Share Buttons – Social Pug,1.3.8
lj-maintenance-mode,Maintenance Mode,2.3.2
advanced-wp-columns,Advanced WP Columns,2.0.6
duplicate-page-and-post,Duplicate Page and Post,2.1.1
woocommerce-products-filter,WooCommerce Products Filter,1.1.7
limit-login-attempts-reloaded,Limit Login Attempts Reloaded,2.6.1
meta-tag-manager,Meta Tag Manager,2.1
newstatpress,NewStatPress,1.2.9
woocommerce-customizer,WooCommerce Customizer,2.5.0
easy-bootstrap-shortcodes,Easy Bootstrap Shortcode,4.5.4
wpfront-scroll-top,WPFront Scroll Top,1.5
remove-category-url,Remove Category URL,1.1
famethemes-demo-importer,FameTheme Demo Importer,1.0.8
amazon-web-services,Amazon Web Services,1.0.3
yuzo-related-post,Related Posts,5.12.70
wp-construction-mode,WP Construction Mode,3.31
no-page-comment,No Page Comment,1.2
svg-vector-icon-plugin,WP SVG Icons,3.2.0
raw-html,Raw HTML,1.5.1
booking,Booking Calendar,8.0.1
similar-posts,Similar Posts – Best Related Posts Plugin for WordPress,2.75
user-access-manager,User Access Manager,2.1.6
wordpress-simple-paypal-shopping-cart,WordPress Simple Paypal Shopping Cart,4.3.7
analytics-code,Analytics,1.2.3
404page,404page – your smart custom 404 error page,3.2
nk-google-analytics,NK Google Analytics,1.4.14
wp-updates-notifier,WP Updates Notifier,1.4.4
storefront-product-sharing,Storefront Product Sharing,1.0.4
baw-login-logout-menu,Login Logout Menu,1.3.3
accesspress-twitter-feed,Twitter Feed for WordPress – AccessPress Twitter Feed,1.5.6
wp-copyprotect,WP-CopyProtect [Protect your blog posts],3.1.0
popups,Popups – WordPress Popup,1.8
social-icons-widget-by-wpzoom,Social Icons Widget by WPZOOM,3.0.5
theme-junkie-custom-css,TJ Custom CSS,0.1.6
speed-booster-pack,Speed Booster Pack,3.6
ssh-sftp-updater-support,SSH SFTP Updater Support,0.7.1
wp-force-ssl,WP Force SSL,1.3
easy-testimonials,Easy Testimonials,3.1
woocommerce-table-rate-shipping,WooCommerce Table Rate Shipping Module,1.0
wp-live-chat-support,WP Live Chat Support,7.1.06
kiwi-logo-carousel,Logo Carousel,1.7.4
youtube-channel-gallery,Youtube Channel Gallery,2.4
growmap-anti-spambot-plugin,Growmap Anti Spambot Plugin,1.5.6
onesignal-free-web-push-notifications,OneSignal – Free Web Push Notifications,1.16.1
jquery-vertical-accordion-menu,JQuery Accordion Menu Widget,3.1.2
advanced-iframe,Advanced iFrame,7.5.1
media-library-assistant,Media Library Assistant,2.62
storefront-sticky-add-to-cart,Storefront Sticky Add to Cart,1.1.7
clean-and-simple-contact-form-by-meg-nicholas,Contact Form Clean and Simple,4.6.2
event-organiser,Event Organiser,3.4.1
wp-admin-ui-customize,WP Admin UI Customize,1.5.11
hyper-cache,Hyper Cache,3.3.4
sticky-menu-or-anything-on-scroll,Sticky Menu (or Anything!) on Scroll,2.0.1
simple-map,Simple Map,4.7.0
super-socializer,"WordPress Social Share, Social Login and Social Comments Plugin – Super Socializer",7.9.4
wysiwyg-widgets,Widget Content Blocks,2.3.8
dropbox-backup,Backup & Restore Dropbox,1.6
posts-in-page,Posts in Page,1.3.0
spam-free-wordpress,Spam Free WordPress,2.2.6
ag-custom-admin,AG Custom Admin,5.7.3
compact-wp-audio-player,Compact WP Audio Player,1.9.6
persian-woocommerce,Persian Woocommerce,3.2.0
optimus,Optimus – WordPress Image Optimizer,1.4.9
embed-any-document,Embed Any Document,2.3.1
jquery-updater,jQuery Updater,3.2.1
simple-facebook-plugin,Simple Facebook Plugin,1.5
bootstrap-for-contact-form-7,Bootstrap for Contact Form 7,1.4.5
woocommerce-grid-list-toggle,WooCommerce Grid / List toggle,1.1.0
no-self-ping,No Self Pings,0.2
pixtypes,PixTypes,1.4.9
re-add-underline-justify,Re-add text underline and justify,0.1.4
pc-robotstxt,Virtual Robots.txt,1.9
verify-google-webmaster-tools,Verify Google Webmaster Tools,1.3
social-count-plus,Social Count Plus,3.4.1
contact-form-cfdb7,Contact Form 7 Database Addon – CFDB7,1.1.5
leaflet-maps-marker,"Leaflet Maps Marker (Google Maps, OpenStreetMap, Bing Maps)",3.12.1
testimonial-rotator,Testimonial Rotator,2.2.4.1
custom-field-suite,Custom Field Suite,2.5.10
livemesh-siteorigin-widgets,Livemesh SiteOrigin Widgets,1.5.3
multi-device-switcher,Multi Device Switcher,1.5.4
wp-author-date-and-meta-remover,"WP Author, Date and Meta Remover",1.0.5
social-warfare,Social Warfare,2.3.3
header-and-footer-scripts,Header and Footer Scripts,1.3.4
post-type-archive-links,Post Type Archive Link,1.3.1
dynamic-to-top,"Dynamic ""To Top"" Plugin",3.5.1
like-box,"Facebook Like Box, Facebook Like Box Popup, Facebook Like Box Widget, Sticky Like Box",0.7.77
facebook-auto-publish,Facebook Auto Publish,1.4.4
favicon-rotator,Favicon Rotator,1.2.7
soundcloud-shortcode,SoundCloud Shortcode,3.0.2
woocommerce-delivery-notes,WooCommerce Print Invoice & Delivery Note,4.3.4
html-sitemap,HTML Page Sitemap,1.3
woocommerce-jetpack,Booster for WooCommerce,3.2.1
akismet-privacy-policies,Akismet Privacy Policies,1.1.2
ad-injection,Ad Injection,1.2.0.19
safe-redirect-manager,Safe Redirect Manager,1.7.8
wp-content-copy-protection,WP Content Copy Protection,1.1.8.3
ditty-news-ticker,Ditty News Ticker,2.1.10
taxonomy-metadata,Taxonomy Metadata,0.5
ultimate-responsive-image-slider,Ultimate Responsive Image Slider,3.0.10
ultimate-category-excluder,Ultimate Category Excluder,1.1
wp-limit-login-attempts,WP Limit Login Attempts,2.6.2
nofollow,Ultimate Nofollow,1.4.7
contact-form-to-email,Contact Form Email,1.2.18
wassup,WassUp Real Time Analytics,1.9.4
awesome-weather,Awesome Weather Widget,1.5.14
wc-shortcodes,Shortcodes by Angie Makes,3.42
magee-shortcodes,Magee Shortcodes,1.6.0
wp-subscribe,WP Subscribe,1.2.5
italy-cookie-choices,Italy Cookie Choices (for EU Cookie Law),2.5.1
wp-store-locator,WP Store Locator,2.2.9
image-watermark,Image Watermark,1.6.1
root-relative-urls,Root Relative URLs,2.3
animate-it,Animate It!,2.2.1
twitter-widget-pro,Twitter Widget Pro,2.8.0
top-10,Top 10  – Popular posts plugin for WordPress,2.4.4
db-cache-reloaded-fix,DB Cache Reloaded Fix,2.3
wp-page-widget,WP Page Widget,3.5
wp-rollback,WP Rollback,1.5
menu-social-icons,Menu Social Icons,1.3.10
stop-spammer-registrations-plugin,Stop Spammers,7.0.7
ultimate-posts-widget,Ultimate Posts Widget,2.0.7
forget-about-shortcode-buttons,Forget About Shortcode Buttons,2.1.1
php-compatibility-checker,PHP Compatibility Checker,1.4.3
gwolle-gb,Gwolle Guestbook,2.3.4
site-is-offline-plugin,Site Offline or Coming Soon,1.6.6
wp125,WP125,1.5.4
icegram,"Popups, Welcome Bar, Optins and Lead Generation Plugin – Icegram",1.10.12
tabby-responsive-tabs,Tabby Responsive Tabs,1.2.3
easy-pricing-tables,Pricing Tables WordPress Plugin – Easy Pricing Tables,2.3.10
woocommerce-pagseguro,WooCommerce PagSeguro,2.12.5
headspace2,HeadSpace2 SEO,3.6.41
font,"Font – official webfonts plugin of Fonts For Web. NO CODING! Just click & change font size, color and font face visually!",7.5.1
comments-from-facebook,Facebook comments WordPress,1.8.3
wp-nested-pages,Nested Pages,2.0.3
wpml-widgets,WPML Widgets,1.0.6
head-cleaner,Head Cleaner,1.4.4
wp-reset,WP Reset,1.0.1
visitors-traffic-real-time-statistics,Visitors Traffic Real Time Statistics,1.2
search-meter,Search Meter,2.13.2
cookies-for-comments,Cookies for Comments,0.5.5
autodescription,The SEO Framework,2.9.4
query-monitor,Query Monitor,2.16.1
wp-external-links,WP External Links (nofollow new tab seo),2.1.3
what-the-file,What The File,1.5.4
contact-form-7-style,Contact Form 7 Style,3.1.3
show-current-template,Show Current Template,0.3.0
oa-social-login,Social Login,5.3
debug-bar,Debug Bar,0.9
wp-seo-qtranslate-x,Integration: Yoast SEO & qTranslate-X,1.1.1
genesis-title-toggle,Genesis Title Toggle,1.7.1
lightweight-social-icons,Lightweight Social Icons,0.9
wufoo-shortcode,Wufoo Shortcode Plugin,1.43
font-awesome,Font Awesome Icons,3.2.1
content-aware-sidebars,Content Aware Sidebars – Unlimited Widget Areas,3.7
clone-posts,Clone Posts,1.0
crazy-bone,Crazy Bone,0.6.0
google-maps-easy,Google Maps Easy,1.8.2
wp-pagenavi-style,WP PageNavi Style,1.4
wp-photo-album-plus,WP Photo Album Plus,6.7.06
projects-by-woothemes,Projects by WooThemes,1.5.0
widgets-for-siteorigin,Widgets for SiteOrigin,1.3.3
advanced-custom-fields-font-awesome,Advanced Custom Fields: Font Awesome Field,2.0.8
templatesnext-toolkit,TemplatesNext ToolKit,2.0.9
ajax-load-more,WordPress Infinite Scroll – Ajax Load More,3.2.1
gzip-ninja-speed-compression,GZip Ninja Speed Compression,1.2.3
custom-post-widget,Content Blocks (Custom Post Widget),3.0.2
go-live-update-urls,Go Live Update URLS,4.1.4
yikes-inc-easy-custom-woocommerce-product-tabs,Custom Product Tabs for WooCommerce,1.6.3
remove-dashboard-access-for-non-admins,Remove Dashboard Access,1.1.3
erident-custom-login-and-dashboard,Erident Custom Login and Dashboard,3.5.4
video-embed-thumbnail-generator,Video Embed & Thumbnail Generator,4.6.19
easy-video-player,Easy Video Player,1.1.6
spiderblocker,Spider Blocker,1.0.15
wp-google-analytics,WP Google Analytics,1.4.1
check-email,Check Email,0.5.5
contact-form-7-add-confirm,Contact Form 7 add confirm,4.8
my-calendar,My Calendar,2.5.16
wp-e-commerce,WP eCommerce,3.13.1
minimal-coming-soon-maintenance-mode,Minimal Coming Soon & Maintenance Mode,1.35
s2member,"s2Member Framework (Member Roles, Capabilities, Membership, PayPal Members)",170722
js-composer-qtranslate-x,WPBakery Visual Composer & qTranslate-X,1.0
customify,Customify – A Theme Customizer Booster,1.5.4
feedburner-plugin,FD Feedburner Plugin,1.48
related-posts-thumbnails,Related Posts Thumbnails Plugin for WordPress,1.6.1
give,Give – Donation Plugin and Fundraising Platform,1.8.16
any-mobile-theme-switcher,Any Mobile Theme Switcher,2.1
simple-wp-sitemap,Simple Wp Sitemap,1.1.9
coming-soon-page,"Coming soon, Maintenance mode and Under construction",3.0.3
wp-fail2ban,WP fail2ban,3.5.3
advanced-image-styles,Advanced Image Styles,0.4
facebook-button-plugin,Facebook Button by BestWebSoft,2.55
wd-facebook-feed,Facebook Feed WD – Custom Facebook Feed Plugin,1.0.28
widget-options,Widget Options,3.4
slideshow-gallery,Slideshow Gallery,1.6.7.1
disable-json-api,Disable REST API,1.4.2
homepage-control,Homepage Control,2.0.2
pinterest-pin-it-button-on-image-hover-and-post,Pinterest Pin It Button On Image Hover And Post,2.5
theme-test-drive,Theme Test Drive,2.9.1
public-post-preview,Public Post Preview,2.6.0
acurax-social-media-widget,Social Media Widget by Acurax,3.2.5
sem-external-links,External Links,6.8.1
addon-so-widgets-bundle,Ultimate Addons for SiteOrigin,2.4.1
post-grid,Post Grid,2.0.21
rocket-maintenance-mode,WP Maintenance Mode / Coming Soon Landing Page Builder,3.8.1
google-authenticator,Google Authenticator,0.48
storefront-product-pagination,Storefront Product Pagination,1.2.2
wp-all-export,Export WordPress data to XML/CSV,1.1.5
hupso-share-buttons-for-twitter-facebook-google,"Hupso Share Buttons for Twitter, Facebook & Google+",4.1.4
bwp-recaptcha,Better WordPress reCAPTCHA (with no CAPTCHA reCAPTCHA),2.0.3
post-tags-and-categories-for-pages,Post Tags and Categories for Pages,1.4.1
easy-watermark,Easy Watermark,0.6.0
wp-page-numbers,WP Page Numbers,0.5
pixabay-images,Pixabay Images,3.0
hueman-addons,Hueman Addons,2.0.12
jquery-lightbox-for-native-galleries,jQuery Lightbox For Native Galleries,3.2.2
tiled-gallery-carousel-without-jetpack,Tiled Gallery Carousel Without JetPack,2.2
wp-print,WP-Print,2.58
wp-featherlight,WP Featherlight – A Simple jQuery Lightbox,1.2.0
google-xml-sitemaps-v3-for-qtranslate,Google XML Sitemaps v3 for qTranslate,3.4.1
open-external-links-in-a-new-window,Open external links in a new window,1.3.2
real-time-find-and-replace,Real-Time Find and Replace,3.9
amazon-s3-and-cloudfront,WP Offload S3 Lite,1.2
google-maps-builder,Maps Builder – Google Maps Plugin,2.1.2
styles,Styles,1.2
saphali-woocommerce-lite,Saphali Woocommerce Russian,1.7.1
insert-html-snippet,Insert Html Snippet,1.2.2
paypal-for-woocommerce,PayPal for WooCommerce,1.4.6.5
strong-testimonials,Strong Testimonials,2.27.2
robo-gallery,Gallery – Photo Gallery and Images Gallery,2.7.1
smtp-mailer,SMTP Mailer,1.0.4
co-authors-plus,Co-Authors Plus,3.2.2
contact-form-7-success-page-redirects,Contact Form 7 – Success Page Redirects,1.2.0
rss-includes-pages,RSS Includes Pages,3.7
woocommerce-colors,WooCommerce Colors,1.0.7
forms-contact,Forms – Form builder and Contact form,1.4.9
if-menu,If Menu,0.7.1
wp-super-cache-clear-cache-menu,WP Super Cache – Clear all cache,1.4
features-by-woothemes,Features by WooThemes,1.5.0
post-snippets,Post Snippets,2.5.3
statify,Statify,1.5.2
wp-insert,Wp-Insert,2.2
flexible-posts-widget,Flexible Posts Widget,3.5.0
spider-event-calendar,Calendar by WD – Responsive Event Calendar for WordPress,1.5.55
pixcodes,PixCodes,2.3.4
duplicate-menu,Duplicate Menu,0.2.1
meks-smart-social-widget,Meks Smart Social Widget,1.3.3
wp-useronline,WP-UserOnline,2.87.1
cf7-conditional-fields,Conditional Fields for Contact Form 7,1.3.4
genesis-simple-share,Genesis Simple Share,1.1.1
easy-modal,Easy Modal,2.1.0
squirrly-seo,SEO SQUIRRLY™,8.2.20
featured-video-plus,Featured Video Plus,2.3.3
admin-menu-tree-page-view,Admin Menu Tree Page View,2.6.9
breadcrumbs,Yoast Breadcrumbs,0.8.5
www-xml-sitemap-generator-org,Google XML Sitemap Generator,1.3.4
calculated-fields-form,Calculated Fields Form,1.0.187
contact-form-add,Form Builder | Create Responsive Contact Forms,1.8.4
google-image-sitemap,Google XML Sitemap for Images,2.1.3
user-photo,User Photo,0.9.10
jquery-smooth-scroll,jQuery Smooth Scroll,1.4.1
wp-realtime-sitemap,WP Realtime Sitemap,1.5.7
leadin,HubSpot – Free Marketing Plugin for WordPress,6.1.4
youtube-widget-responsive,Youtube Widget Responsive,1.4.1
fv-wordpress-flowplayer,FV Flowplayer Video Player,6.3.7
cache-enabler,Cache Enabler – WordPress Cache,1.2.2
iq-block-country,iQ Block Country,1.1.45
flash-album-gallery,Gallery – Flagallery Photo Portfolio,5.1.4
rotatingtweets,Rotating Tweets (Twitter widget and shortcode),1.9.3
meks-flexible-shortcodes,Meks Flexible Shortcodes,1.3.1
protect-wp-admin,Protect Your Admin,2.7
jquery-pin-it-button-for-images,jQuery Pin It Button for Images,2.3.3
woocommerce-germanized,WooCommerce Germanized,1.9.5
media-file-renamer,Media File Renamer,3.7.0
wc-gallery,Galleries by Angie Makes,1.63
mailpoet,MailPoet 3 (New),3.0.9
amazon-associates-link-builder,Amazon Associates Link Builder,1.4.12
flickr-rss,flickrRSS,5.3.1
fonts,Fonts,2.3
woocommerce-correios,WooCommerce Correios,3.5.1
popup-by-supsystic,Popup by Supsystic,1.9.11
wp-noexternallinks,WP No External Links,4.2.2
taxonomy-images,Taxonomy Images,0.9.6
update-control,Update Control,1.5
hide-my-site,Hide My Site,2.0.5
invisible-recaptcha,Invisible reCaptcha for WordPress,1.1
mp3-jplayer,MP3-jPlayer,2.7.2
orbisius-child-theme-creator,Child Theme Creator by Orbisius,1.4.5
mailchimp-for-woocommerce,MailChimp for WooCommerce,2.0.2
wp-parsidate,Parsi Date,2.3.4
wpmandrill,wpMandrill,1.33
drafts-scheduler,Drafts Scheduler,1.9.3
facebook-page-feed-graph-api,Facebook Page Plugin,1.6.1
acf-content-analysis-for-yoast-seo,ACF Content Analysis for Yoast SEO,2.0.1
typekit-fonts-for-wordpress,Typekit Fonts for WordPress,1.8.4
wunderground,Weather Underground,2.1.3
event-calendar-wd,Event Calendar WD – Responsive Event Calendar plugin,1.1.7
contact-bank,Forms – Contact Form – Form Builder – WordPress Contact Form Plugin,3.0.9
learnpress,LearnPress – WordPress LMS Plugin,2.1.9.3
wp-site-migrate,WP Engine Automated Migration,1.48
custom-share-buttons-with-floating-sidebar,Custom Share Buttons with Floating Sidebar,3.3
kingcomposer,Page Builder: KingComposer – Free Drag and Drop page builder by King-Theme,2.6.15
contact-form-submissions,Contact Form Submissions,1.6.1
add-logo-to-admin,Add Logo to Admin,1.6.2
ad-widget,WordPress Ad Widget,2.15.0
visualizer,WordPress Charts and Graphs Lite,3.0.2
woocommerce-cart-tab,WooCommerce Cart Tab,1.1.1
mollie-payments-for-woocommerce,Mollie Payments for WooCommerce,2.7.0
woocommerce-csvimport,Woocommerce CSV importer,3.3.6
facebook-thumb-fixer,Facebook Thumb Fixer,1.7.5
advanced-sidebar-menu,Advanced Sidebar Menu,6.4.2
kiwi-social-share,Kiwi Social Share – Social Media Share Buttons & Icons,2.0.5
shortcoder,Shortcoder,4.1.2
kraken-image-optimizer,Kraken.io Image Optimizer,2.6.2
hide-featured-image,Hide Featured Image,1.2
rich-text-tags,Rich Text Tags,1.8
meks-easy-ads-widget,Meks Easy Ads Widget,2.0.2
a2-optimized-wp,A2 Optimized WP,2.0.9.4
email-encoder-bundle,Email Encoder Bundle – Protect Email Address,1.4.6
product-import-export-for-woo,Product Import Export for WooCommerce,1.3.9
rss-post-importer,RSS Post Importer,2.5.2
woocommerce-xml-csv-product-import,Import Products from any XML or CSV to WooCommerce,1.3.7
calendar,Calendar,1.3.9
flexi-pages-widget,Flexi Pages Widget,1.7.3
meks-smart-author-widget,Meks Smart Author Widget,1.1.1
fv-top-level-cats,FV Top Level Categories,1.8.2
newsletter-sign-up,Newsletter Sign-Up,2.0.7
pagemash,pageMash > Page Management,1.3.0
wpdiscuz,Comments – wpDiscuz,4.0.15
bulk-page-creator,Bulk Page Creator,1.1.0
manual-image-crop,Manual Image Crop,1.12
yandex-metrika,Яндекс Метрика,0.8.4
social-icons,Social Icons,1.6.0
nivo-slider-lite,Slider by Nivo – Responsive WordPress Image Slider,2.1.0
gallery-bank,Gallery – Photo Gallery – Image Gallery – Photo Albums – Portfolio – WordPress Gallery Plugin,4.0.31
baidu-sitemap-generator,Baidu Sitemap Generator,1.6.5
gmap-embed,Google Map,1.2.2
acf-qtranslate,ACF qTranslate,1.7.23
ip-geo-block,IP Geo Block,3.0.4.6
youtube-embed,YouTube Embed,5.0.4
wp-maintenance,WP Maintenance,3.0.6
wp-better-emails,WP Better Emails,0.3
simple-membership,Simple Membership,3.5.7
tubepress,TubePress,3.1.8
wp-math-captcha,Math Captcha,1.2.7
fourteen-colors,Fourteen Colors,1.4
user-submitted-posts,User Submitted Posts,20171101
wp-flexible-map,Flexible Map,1.12.1
team-members,Team Members,3.0.1
mystickymenu,myStickymenu,2.0.1
contact-form-by-supsystic,Contact Form by Supsystic,1.3.2
attachments,Attachments,3.5.9
timber-library,Timber,1.5.2
php-text-widget,PHP Text Widget,1.0.8
hubspot-tracking-code,HubSpot Tracking Code for WordPress,1.2.1
stream,Stream,3.2.2
gravity-forms-css-ready-selector,Gravity Forms CSS Ready Class Selector,1.1
easy-adsense-lite,Easy Plugin for AdSense,8.7
addons-for-visual-composer,Addons for Visual Composer,1.6.1
wp-backitup,WordPress Backup & Restore Plugin – WPBackItUp,1.15
newpost-catch,Newpost Catch,1.3.5
google-pagespeed-insights,Google Pagespeed Insights,3.0.3
jquery-t-countdown-widget,T(-) Countdown,2.3.17
dropdown-menu-widget,Dropdown Menu Widget,1.9.6
export-user-data,Export User Data,1.3.1
shapely-companion,Shapely Companion,1.2.0
hide-admin-bar,Hide Admin Bar,0.3.8.1
hide-admin-bar-from-non-admins,Hide Admin Bar from Non-Admins,1.0
simple-twitter-tweets,Simple Twitter Tweets,4.4
custom-meta-widget,Custom Meta Widget,1.4.8
wp-htaccess-control,WP htaccess Control,3.5.1
simple-google-analytics,Simple Google Analytics,2.2.2
woocommerce-products-per-page,WooCommerce Products Per Page,1.2.3
wp-social-sharing,WP Social Sharing,1.9
metronet-reorder-posts,Reorder Posts,2.4.0
genesis-connect-woocommerce,Genesis Connect for WooCommerce,0.9.9
media-element-html5-video-and-audio-player,MediaElement.js – HTML5 Video & Audio Player,2.10.3
video-sidebar-widgets,Video Sidebar Widgets,6.0
woocommerce-exporter,WooCommerce – Store Exporter,1.9.3
enhanced-e-commerce-for-woocommerce-store,Enhanced Ecommerce Google Analytics Plugin for WooCommerce,1.2.0
woocommerce-extra-checkout-fields-for-brazil,WooCommerce Extra Checkout Fields for Brazil,3.6.0
cherry-testi,Cherry Testimonials,1.1.0.2
bm-custom-login,Custom Login,2.1
subscribe-to-comments-reloaded,Subscribe To Comments Reloaded,170607
tinymce-templates,TinyMCE Templates,4.8.1
csv-importer,CSV Importer,0.3.8
woocommerce-currency-switcher,WooCommerce Currency Switcher,1.2.0
disable-feeds,Disable Feeds,1.4.4
login-form-recaptcha,reCAPTCHA,1.6
wpgform,Google Forms,0.91
footer-putter,Footer Putter,1.14.1
wp-recaptcha-integration,WordPress ReCaptcha Integration,1.2.1
html-editor-syntax-highlighter,HTML Editor Syntax Highlighter,2.2.2
slide-anything,Slide Anything – Responsive Content / HTML Slider and Carousel,2.0.16
itro-popup,ITRO Popup Plugin,5.0.2
wp-memory-usage,WP-Memory-Usage,1.2.2
wf-cookie-consent,WF Cookie Consent,1.1.2
wk-google-analytics,Google Analytics,1.6.2
allow-php-in-posts-and-pages,Allow PHP in Posts and Pages,3.0.4
import-users-from-csv-with-meta,Import users from CSV with meta,1.10.7.5
wp-hyper-response,WP Hyper Response,1.3
user-avatar,User Avatar,1.4.11
wp-media-library-categories,Media Library Categories,1.5.6
stop-user-enumeration,Fullworks WP VPS Security,1.3.12
rus-to-lat-advanced,rus to lat advanced,1.1
wp-editor-widget,WP Editor Widget,0.5.5
carousel-without-jetpack,Gallery Carousel Without JetPack,0.7.5
formget-contact-form,FormGet Contact Form,5.4.1
my-custom-css,My Custom CSS,3.1
shortcode-ui,Shortcake (Shortcode UI),0.7.3
illdy-companion,Illdy Companion,2.0.3
my-custom-functions,My Custom Functions,4.11
wp-pro-quiz,Wp-Pro-Quiz,0.37
recent-facebook-posts,Recent Facebook Posts,2.0.12
yith-woocommerce-catalog-mode,YITH WooCommerce Catalog Mode,1.5.7
above-the-fold-optimization,Above The Fold Optimization,2.9.2
metronet-profile-picture,User Profile Picture,1.4.3
clicky,Clicky by Yoast,1.6
gmail-smtp,Gmail SMTP,1.1.5
wp-meta-seo,WP Meta SEO,3.5.2
hc-custom-wp-admin-url,HC Custom WP-Admin URL,1.3.2
genesis-translations,Genesis Translations,2.4.1
wp-cycle,WP-Cycle,0.1.13
advanced-wp-reset,Advanced WordPress Reset,1.0.1
async-javascript,Async JavaScript,2.17.11.03
accordion-shortcodes,Accordion Shortcodes,2.3.3
fancy-box,FancyBox,1.1.0
wp-less,WP-LESS,1.8.0
entry-views,Entry Views,1.0.0
wordpress-reset,WordPress Reset,1.4
favicon-xt-manager,Favicon XT-Manager,1.0
wp-visual-icon-fonts,WP Visual Icon Fonts,0.5.7
woocommerce-sequential-order-numbers,WooCommerce Sequential Order Numbers,1.8.2
cardoza-facebook-like-box,Facebook Like Box,2.10.1
wp-job-manager-contact-listing,Contact Listing for WP Job Manager,1.4.0
check-and-enable-gzip-compression,Check and Enable GZIP compression,1.1.11
accordions,Accordion,2.0.21
shortcode-widget,Shortcode Widget,1.5.1
delete-pending-comments,Delete Pending Comments,0.2.1.1
woocommerce-product-archive-customiser,WooCommerce Product Archive Customiser,1.0.5
simple-follow-me-social-buttons-widget,Simple Follow Me Social Buttons Widget,3.3.3
elementor-templater,Page Templater For Elementor,1.2.0
ecwid-shopping-cart,Ecwid Ecommerce Shopping Cart,5.6.2
bruteprotect,BruteProtect,2.5
reset-wp,Reset WP,1.1
easy-pie-coming-soon,EZP Coming Soon Page,1.0.6
data-tables-generator-by-supsystic,Data Tables Generator by Supsystic,1.6.8
soundy-background-music,Soundy Background Music,3.9
cpo-content-types,CPO Content Types,1.1.0
wd-google-maps,Google Maps WD – Google Maps builder Plugin,1.0.47
advanced-random-posts-widget,Advanced Random Posts Widget,2.1.1
ultimate-tag-cloud-widget,Ultimate Tag Cloud Widget,2.7.2
woocommerce-quantity-increment,WooCommerce Quantity Increment,1.1.0
search-filter,Search & Filter,1.2.9
aqua-page-builder,Aqua Page Builder,1.1.5
insert-post-ads,Insert Post Ads,1.1.2
jonradio-private-site,My Private Site,2.14.1
wd-google-analytics,Google Analytics WD – user-friendly Google Analytics integration plugin,1.1.5
unite-gallery-lite,Unite Gallery Lite,1.7.43
login-security-solution,Login Security Solution,0.56.0
fast-velocity-minify,Fast Velocity Minify,2.2.1
yith-essential-kit-for-woocommerce-1,YITH Essential Kit for WooCommerce #1,1.4.8
