contact-form-7,Contact Form 7,4.9.1
easy-wp-smtp,Easy WP SMTP,1.3.0
buddypress,BuddyPress,2.9.2
adminimize,Adminimize,1.11.2
imsanity,Imsanity,2.3.9
wp-instagram-widget,WP Instagram Widget,2.0.0
pretty-link,Pretty Links (Lite),2.1.2
addthis,Share Buttons by AddThis,6.1.1
wp-postviews,WP-PostViews,1.75
intuitive-custom-post-order,Intuitive Custom Post Order,3.1.0
login-lockdown,Login LockDown,v1.7.1
custom-facebook-feed,Custom Facebook Feed,2.4.6
php-code-widget,PHP Code Widget,2.3
table-of-contents-plus,Table of Contents Plus,1601
simple-lightbox,Simple Lightbox,2.6.0
genesis-simple-edits,Genesis Simple Edits,2.2.0
recent-tweets-widget,Recent Tweets Widget,1.6.8
social-networks-auto-poster-facebook-twitter-g,NextScripts: Social Networks Auto-Poster,4.0.7
exclude-pages,Exclude Pages,1.92
so-css,SiteOrigin CSS,1.1.5
youtube-embed-plus,YouTube,11.8.3
contact-form-plugin,Contact Form by BestWebSoft,4.0.7
seo-image,SEO Friendly Images,3.0.5
all-in-one-favicon,All In One Favicon,4.6
gotmls,Anti-Malware Security and Brute-Force Firewall,4.17.34
rustolat,Rus-To-Lat,0.3
wp-retina-2x,WP Retina 2x,5.1.4
seo-ultimate,SEO Ultimate,7.6.5.9
recent-posts-widget-extended,Recent Posts Widget Extended,0.9.9.7
megamenu,Max Mega Menu,2.4
anti-spam,Anti-spam,4.4
wp-spamshield,WP-SpamShield,1.9.21
yith-woocommerce-compare,YITH WooCommerce Compare,2.2.2
simple-share-buttons-adder,Simple Share Buttons Adder,7.3.10
social-media-widget,Social Media Widget,4.0.6
popup-maker,Popup Maker™ – Best Rated,1.6.6
wp-edit,WP Edit,4.0.1
contact-form-7-honeypot,Contact Form 7 Honeypot,1.12
pubsubhubbub,WebSub/PubSubHubbub,2.2.0
wp-sitemap-page,WP Sitemap Page,1.6
wps-hide-login,WPS Hide Login,1.2.1
child-theme-configurator,Child Theme Configurator,2.2.8.1
litespeed-cache,LiteSpeed Cache,1.6.1
sumome,Free Tools to Automate Your Site Growth,1.27
cyr3lat,Cyr to Lat enhanced,3.5
one-click-demo-import,One Click Demo Import,2.4.0
wp-dbmanager,WP-DBManager,2.79
slider-image,Responsive Slider – Image Slider – Slideshow for WordPress,4.0.6
members,Members,2.0.1
rename-wp-login,Rename wp-login.php,2.5.5
qtranslate-x,qTranslate X,3.4.6.8
wp-google-fonts,WP Google Fonts,v3.1.4
auto-post-thumbnail,Auto Post Thumbnail,3.4.1
use-any-font,Use Any Font,4.7.3
cmb2,CMB2,2.2.5.3
mailchimp,MailChimp List Subscribe Form,1.5.7
theme-my-login,Theme My Login,6.4.9
